CountyFull,State,County,1972,1977,1978,1993,1994,1996,1999,2000,2004,2015,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Floyd  KY,KY,Floyd ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-82.745697,-82.745697,"Floyd, KY",Floyd
Forsyth  GA,GA,Forsyth ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.125,-84.125,"Forsyth, GA",Forsyth
Forsyth  NC,NC,Forsyth ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-80.2563019,-80.2563019,"Forsyth, NC",Forsyth
Franklin  AL,AL,Franklin ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.8438034,-87.8438034,"Franklin, AL",Franklin
Franklin  GA,GA,Franklin ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.2292023,-83.2292023,"Franklin, GA",Franklin
Franklin  KY,KY,Franklin ,0,0,0,0,0,1,0,0,1,1,-89.6533966,32.7128983,-84.8770981,-84.8770981,"Franklin, KY",Franklin
Franklin  NC,NC,Franklin ,0,1,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-78.2856979,-78.2856979,"Franklin, NC",Franklin
Franklin  TN,TN,Franklin ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-86.0922012,-86.0922012,"Franklin, TN",Franklin
Fulton  GA,GA,Fulton ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.4670029,-84.4670029,"Fulton, GA",Fulton
Fulton  KY,KY,Fulton ,0,0,0,0,0,1,0,0,1,0,-89.6533966,32.7128983,-89.1875992,-89.1875992,"Fulton, KY",Fulton
Gallatin  KY,KY,Gallatin ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-84.8592987,-84.8592987,"Gallatin, KY",Gallatin
Garrard  KY,KY,Garrard ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-84.5375977,-84.5375977,"Garrard, KY",Garrard
Gaston  NC,NC,Gaston ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-81.1801987,-81.1801987,"Gaston, NC",Gaston
Gates  NC,NC,Gates ,0,0,0,0,0,2,0,0,0,0,-83.4271011,32.6385994,-76.7005005,-76.7005005,"Gates, NC",Gates
Genesee  MI,MI,Genesee ,0,0,1,0,0,0,0,1,0,0,,,,,"Genesee, MI",Genesee
Geneva  AL,AL,Geneva ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.8389969,-85.8389969,"Geneva, AL",Geneva
Gilmer  GA,GA,Gilmer ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.4555969,-84.4555969,"Gilmer, GA",Gilmer
Gladwin  MI,MI,Gladwin ,0,0,1,0,0,0,0,1,0,0,,,,,"Gladwin, MI",Gladwin
Glynn  GA,GA,Glynn ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-81.4936981,-81.4936981,"Glynn, GA",Glynn
Gogebic  MI,MI,Gogebic ,0,0,1,0,0,0,0,0,0,0,,,,,"Gogebic, MI",Gogebic
Gordon  GA,GA,Gordon ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.8758011,-84.8758011,"Gordon, GA",Gordon
Grady  GA,GA,Grady ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.2343979,-84.2343979,"Grady, GA",Grady
Graham  NC,NC,Graham ,0,0,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-83.8336029,-83.8336029,"Graham, NC",Graham
Grainger  TN,TN,Grainger ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-83.5095978,-83.5095978,"Grainger, TN",Grainger
Grand Traverse  MI,MI,Grand Traverse ,0,0,1,0,0,0,0,0,0,0,,,,,"Grand Traverse, MI",Grand Traverse
Grant  KY,KY,Grant ,0,0,0,0,0,1,0,0,1,0,-89.6533966,32.7128983,-84.6246033,-84.6246033,"Grant, KY",Grant
Granville  NC,NC,Granville ,0,1,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-78.6527023,-78.6527023,"Granville, NC",Granville
Gratiot  MI,MI,Gratiot ,0,0,1,0,0,0,0,1,0,0,,,,,"Gratiot, MI",Gratiot
Graves  KY,KY,Graves ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-88.6511993,-88.6511993,"Graves, KY",Graves
Grayson  KY,KY,Grayson ,0,0,0,0,1,1,0,0,1,0,-89.6533966,32.7128983,-86.3439026,-86.3439026,"Grayson, KY",Grayson
Green  KY,KY,Green ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-85.5531006,-85.5531006,"Green, KY",Green
Greene  AL,AL,Greene ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.9522018,-87.9522018,"Greene, AL",Greene
Greene  TN,TN,Greene ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-82.8458023,-82.8458023,"Greene, TN",Greene
Greenup  KY,KY,Greenup ,0,0,0,1,0,1,0,0,0,0,-89.6533966,32.7128983,-82.9223022,-82.9223022,"Greenup, KY",Greenup
Grundy  TN,TN,Grundy ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.7226028,-85.7226028,"Grundy, TN",Grundy
Guilford  NC,NC,Guilford ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-79.7889023,-79.7889023,"Guilford, NC",Guilford
Gwinnett  GA,GA,Gwinnett ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.0235977,-84.0235977,"Gwinnett, GA",Gwinnett
Habersham  GA,GA,Habersham ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.5310974,-83.5310974,"Habersham, GA",Habersham
Hale  AL,AL,Hale ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.629097,-87.629097,"Hale, AL",Hale
Halifax  NC,NC,Halifax ,0,0,0,0,0,2,0,0,0,0,-83.4271011,32.6385994,-77.6517029,-77.6517029,"Halifax, NC",Halifax
Hall  GA,GA,Hall ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.8197021,-83.8197021,"Hall, GA",Hall
Hamblen  TN,TN,Hamblen ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-83.2667007,-83.2667007,"Hamblen, TN",Hamblen
Hamilton  TN,TN,Hamilton ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.1648026,-85.1648026,"Hamilton, TN",Hamilton
Hancock  KY,KY,Hancock ,0,0,0,0,0,1,0,0,1,0,-89.6533966,32.7128983,-86.7779007,-86.7779007,"Hancock, KY",Hancock
Hancock  TN,TN,Hancock ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-83.2218018,-83.2218018,"Hancock, TN",Hancock
Haralson  GA,GA,Haralson ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-85.2109985,-85.2109985,"Haralson, GA",Haralson
Hardin  KY,KY,Hardin ,0,0,0,0,1,1,0,0,0,0,-89.6533966,32.7128983,-85.9634018,-85.9634018,"Hardin, KY",Hardin
Harlan  KY,KY,Harlan ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-83.2179031,-83.2179031,"Harlan, KY",Harlan
Harnett  NC,NC,Harnett ,0,0,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-78.8694,-78.8694,"Harnett, NC",Harnett
Harrison  KY,KY,Harrison ,0,0,0,1,0,1,0,0,1,0,-89.6533966,32.7128983,-84.331398,-84.331398,"Harrison, KY",Harrison
Hart  GA,GA,Hart ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.9642029,-82.9642029,"Hart, GA",Hart
Hart  KY,KY,Hart ,0,0,0,1,1,1,0,0,1,0,-89.6533966,32.7128983,-85.884697,-85.884697,"Hart, KY",Hart
Hawkins  TN,TN,Hawkins ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-82.9447021,-82.9447021,"Hawkins, TN",Hawkins
Haywood  NC,NC,Haywood ,0,0,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-82.9822006,-82.9822006,"Haywood, NC",Haywood
Henderson  KY,KY,Henderson ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-87.5731964,-87.5731964,"Henderson, KY",Henderson
Henderson  NC,NC,Henderson ,0,0,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-82.4798965,-82.4798965,"Henderson, NC",Henderson
Henry  AL,AL,Henry ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.2414017,-85.2414017,"Henry, AL",Henry
Henry  GA,GA,Henry ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.1541977,-84.1541977,"Henry, GA",Henry
Henry  KY,KY,Henry ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-85.1188965,-85.1188965,"Henry, KY",Henry
Hertford  NC,NC,Hertford ,0,0,0,0,0,2,0,0,0,0,-83.4271011,32.6385994,-76.9806976,-76.9806976,"Hertford, NC",Hertford
Hickman  KY,KY,Hickman ,0,0,0,0,0,1,0,0,1,0,-89.6533966,32.7128983,-88.9761963,-88.9761963,"Hickman, KY",Hickman
Hillsdale  MI,MI,Hillsdale ,0,1,1,0,0,0,0,1,0,0,,,,,"Hillsdale, MI",Hillsdale
Hopkins  KY,KY,Hopkins ,0,0,0,0,0,1,0,0,1,0,-89.6533966,32.7128983,-87.540802,-87.540802,"Hopkins, KY",Hopkins
Houghton  MI,MI,Houghton ,0,0,1,0,0,0,0,0,0,0,,,,,"Houghton, MI",Houghton
Houston  AL,AL,Houston ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.3024979,-85.3024979,"Houston, AL",Houston
Houston  GA,GA,Houston ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.6661987,-83.6661987,"Houston, GA",Houston
Huron  MI,MI,Huron ,0,0,1,0,0,0,0,1,0,0,,,,,"Huron, MI",Huron
Hyde  NC,NC,Hyde ,0,0,0,1,0,0,0,0,0,0,-83.4271011,32.6385994,-76.1449966,-76.1449966,"Hyde, NC",Hyde
Ingham  MI,MI,Ingham ,1,0,1,0,0,0,0,1,0,0,,,,,"Ingham, MI",Ingham
Ionia  MI,MI,Ionia ,1,1,1,0,0,0,1,1,0,0,,,,,"Ionia, MI",Ionia
Iosco  MI,MI,Iosco ,0,0,1,0,0,0,1,0,0,0,,,,,"Iosco, MI",Iosco
Iredell  NC,NC,Iredell ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-80.8733978,-80.8733978,"Iredell, NC",Iredell
Iron  MI,MI,Iron ,0,0,1,0,0,0,0,0,0,0,,,,,"Iron, MI",Iron
Isabella  MI,MI,Isabella ,0,0,1,0,0,0,0,1,0,0,,,,,"Isabella, MI",Isabella
Jackson  AL,AL,Jackson ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.9992981,-85.9992981,"Jackson, AL",Jackson
Jackson  GA,GA,Jackson ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.5662994,-83.5662994,"Jackson, GA",Jackson
Jackson  KY,KY,Jackson ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-84.0057983,-84.0057983,"Jackson, KY",Jackson
Jackson  MI,MI,Jackson ,1,0,1,0,0,0,1,1,0,0,,,,,"Jackson, MI",Jackson
Jackson  NC,NC,Jackson ,0,0,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-83.1408005,-83.1408005,"Jackson, NC",Jackson
Jackson  TN,TN,Jackson ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.6731033,-85.6731033,"Jackson, TN",Jackson
Jeff Davis  GA,GA,Jeff Davis ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.6369019,-82.6369019,"Jeff Davis, GA",Jeff Davis
Jefferson  AL,AL,Jefferson ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.8964005,-86.8964005,"Jefferson, AL",Jefferson
Jefferson  KY,KY,Jefferson ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-85.6592026,-85.6592026,"Jefferson, KY",Jefferson
Jefferson  TN,TN,Jefferson ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-83.4462967,-83.4462967,"Jefferson, TN",Jefferson
Jessamine  KY,KY,Jessamine ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-84.5809021,-84.5809021,"Jessamine, KY",Jessamine
Johnson  KY,KY,Johnson ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-82.8314972,-82.8314972,"Johnson, KY",Johnson
Johnson  TN,TN,Johnson ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-81.851799,-81.851799,"Johnson, TN",Johnson
Johnston  NC,NC,Johnston ,0,1,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-78.3656998,-78.3656998,"Johnston, NC",Johnston
Kalamazoo  MI,MI,Kalamazoo ,1,0,1,0,0,0,1,1,0,0,,,,,"Kalamazoo, MI",Kalamazoo
Kalkaska  MI,MI,Kalkaska ,0,0,1,0,0,0,0,0,0,0,,,,,"Kalkaska, MI",Kalkaska
Kent  MI,MI,Kent ,0,0,1,0,0,0,1,1,0,0,,,,,"Kent, MI",Kent
Kenton  KY,KY,Kenton ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-84.5333023,-84.5333023,"Kenton, KY",Kenton
Keweenaw  MI,MI,Keweenaw ,0,0,1,0,0,0,0,0,0,0,,,,,"Keweenaw, MI",Keweenaw
Knott  KY,KY,Knott ,0,0,0,1,0,1,0,0,0,1,-89.6533966,32.7128983,-82.9541016,-82.9541016,"Knott, KY",Knott
Knox  KY,KY,Knox ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-83.8539963,-83.8539963,"Knox, KY",Knox
Knox  TN,TN,Knox ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-83.9371033,-83.9371033,"Knox, TN",Knox
Lake  MI,MI,Lake ,0,0,1,0,0,0,0,0,0,0,,,,,"Lake, MI",Lake
Lamar  AL,AL,Lamar ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-88.0969009,-88.0969009,"Lamar, AL",Lamar
Lanier  GA,GA,Lanier ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.0626984,-83.0626984,"Lanier, GA",Lanier
Lapeer  MI,MI,Lapeer ,0,0,1,0,0,0,0,1,0,0,,,,,"Lapeer, MI",Lapeer
Larue  KY,KY,Larue ,0,0,0,0,1,1,0,0,1,0,-89.6533966,32.7128983,-85.6978989,-85.6978989,"Larue, KY",Larue
Lauderdale  AL,AL,Lauderdale ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.6539993,-87.6539993,"Lauderdale, AL",Lauderdale
Laurel  KY,KY,Laurel ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-84.1177979,-84.1177979,"Laurel, KY",Laurel
Laurens  GA,GA,Laurens ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.9222031,-82.9222031,"Laurens, GA",Laurens
Lawrence  AL,AL,Lawrence ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.310997,-87.310997,"Lawrence, AL",Lawrence
Lawrence  KY,KY,Lawrence ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-82.7348022,-82.7348022,"Lawrence, KY",Lawrence
Lawrence  TN,TN,Lawrence ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-87.3955994,-87.3955994,"Lawrence, TN",Lawrence
Lee  AL,AL,Lee ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.3555984,-85.3555984,"Lee, AL",Lee
Lee  KY,KY,Lee ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-83.716301,-83.716301,"Lee, KY",Lee
Lee  NC,NC,Lee ,0,0,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-79.1715012,-79.1715012,"Lee, NC",Lee
Leelanau  MI,MI,Leelanau ,0,0,1,0,0,0,0,0,0,0,,,,,"Leelanau, MI",Leelanau
Lenawee  MI,MI,Lenawee ,0,0,1,0,0,0,1,0,0,0,,,,,"Lenawee, MI",Lenawee
Lenoir  NC,NC,Lenoir ,0,0,0,1,0,0,0,0,0,0,-83.4271011,32.6385994,-77.6412964,-77.6412964,"Lenoir, NC",Lenoir
Leslie  KY,KY,Leslie ,0,0,0,1,0,1,0,0,0,0,-89.6533966,32.7128983,-83.3811035,-83.3811035,"Leslie, KY",Leslie
Letcher  KY,KY,Letcher ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-82.8553009,-82.8553009,"Letcher, KY",Letcher
Lewis  KY,KY,Lewis ,0,0,0,1,0,1,0,0,0,1,-89.6533966,32.7128983,-83.3780975,-83.3780975,"Lewis, KY",Lewis
Liberty  GA,GA,Liberty ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-81.4562988,-81.4562988,"Liberty, GA",Liberty
Limestone  AL,AL,Limestone ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.9813995,-86.9813995,"Limestone, AL",Limestone
Lincoln  KY,KY,Lincoln ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-84.6607971,-84.6607971,"Lincoln, KY",Lincoln
Lincoln  NC,NC,Lincoln ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-81.2235031,-81.2235031,"Lincoln, NC",Lincoln
Lincoln  TN,TN,Lincoln ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-86.5888977,-86.5888977,"Lincoln, TN",Lincoln
Livingston  KY,KY,Livingston ,0,0,0,0,1,1,0,0,1,0,-89.6533966,32.7128983,-88.3537979,-88.3537979,"Livingston, KY",Livingston
Livingston  MI,MI,Livingston ,0,0,1,0,0,0,0,1,0,0,,,,,"Livingston, MI",Livingston
Logan  KY,KY,Logan ,0,0,0,0,1,1,0,0,0,0,-89.6533966,32.7128983,-86.8788986,-86.8788986,"Logan, KY",Logan
Loudon  TN,TN,Loudon ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.3118973,-84.3118973,"Loudon, TN",Loudon
Lowndes  AL,AL,Lowndes ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.6501007,-86.6501007,"Lowndes, AL",Lowndes
Lowndes  GA,GA,Lowndes ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.2677002,-83.2677002,"Lowndes, GA",Lowndes
Luce  MI,MI,Luce ,0,0,1,0,0,0,0,0,0,0,,,,,"Luce, MI",Luce
Lumpkin  GA,GA,Lumpkin ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.0027008,-84.0027008,"Lumpkin, GA",Lumpkin
Lyon  KY,KY,Lyon ,0,0,0,0,0,1,0,0,1,1,-89.6533966,32.7128983,-88.0832977,-88.0832977,"Lyon, KY",Lyon
Mackinac  MI,MI,Mackinac ,0,0,1,0,0,0,0,0,0,0,,,,,"Mackinac, MI",Mackinac
Macomb  MI,MI,Macomb ,0,0,1,0,0,0,1,1,0,0,,,,,"Macomb, MI",Macomb
Macon  AL,AL,Macon ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.6927032,-85.6927032,"Macon, AL",Macon
Macon  NC,NC,Macon ,0,0,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-83.4222031,-83.4222031,"Macon, NC",Macon
Macon  TN,TN,Macon ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-86.0073013,-86.0073013,"Macon, TN",Macon
Madison  AL,AL,Madison ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.5502014,-86.5502014,"Madison, AL",Madison
Madison  KY,KY,Madison ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-84.2779999,-84.2779999,"Madison, KY",Madison
Madison  NC,NC,Madison ,0,0,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-82.7058029,-82.7058029,"Madison, NC",Madison
Magoffin  KY,KY,Magoffin ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-83.0649033,-83.0649033,"Magoffin, KY",Magoffin
Manistee  MI,MI,Manistee ,0,0,1,0,0,0,0,0,0,0,,,,,"Manistee, MI",Manistee
Marengo  AL,AL,Marengo ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.7894974,-87.7894974,"Marengo, AL",Marengo
Marion  AL,AL,Marion ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.8871002,-87.8871002,"Marion, AL",Marion
Marion  KY,KY,Marion ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-85.2695999,-85.2695999,"Marion, KY",Marion
Marion  TN,TN,Marion ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.6220016,-85.6220016,"Marion, TN",Marion
Marquette  MI,MI,Marquette ,0,0,1,0,0,0,1,0,0,0,,,,,"Marquette, MI",Marquette
Marshall  AL,AL,Marshall ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.3066025,-86.3066025,"Marshall, AL",Marshall
Marshall  KY,KY,Marshall ,0,0,0,0,0,1,0,0,1,1,-89.6533966,32.7128983,-88.3293991,-88.3293991,"Marshall, KY",Marshall
Martin  KY,KY,Martin ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-82.513298,-82.513298,"Martin, KY",Martin
Mason  KY,KY,Mason ,0,0,0,1,0,1,0,0,0,0,-89.6533966,32.7128983,-83.8242035,-83.8242035,"Mason, KY",Mason
Mason  MI,MI,Mason ,0,0,1,0,0,0,0,0,0,0,,,,,"Mason, MI",Mason
McCracken  KY,KY,McCracken ,0,0,0,0,0,1,0,0,0,1,-89.6533966,32.7128983,-88.7126999,-88.7126999,"McCracken, KY",McCracken
McCreary  KY,KY,McCreary ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-84.4841995,-84.4841995,"McCreary, KY",McCreary
McDowell  NC,NC,McDowell ,0,0,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-82.0493011,-82.0493011,"McDowell, NC",McDowell
McDuffie  GA,GA,McDuffie ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.4813995,-82.4813995,"McDuffie, GA",McDuffie
McIntosh  GA,GA,McIntosh ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-81.3756027,-81.3756027,"McIntosh, GA",McIntosh
McLean  KY,KY,McLean ,0,0,0,0,0,1,0,0,1,0,-89.6533966,32.7128983,-87.2636032,-87.2636032,"McLean, KY",McLean
McMinn  TN,TN,McMinn ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.6175003,-84.6175003,"McMinn, TN",McMinn
Meade  KY,KY,Meade ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-86.2172012,-86.2172012,"Meade, KY",Meade
Mecklenburg  NC,NC,Mecklenburg ,0,1,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-80.8327026,-80.8327026,"Mecklenburg, NC",Mecklenburg
Mecosta  MI,MI,Mecosta ,0,0,1,0,0,0,1,1,0,0,,,,,"Mecosta, MI",Mecosta
Meigs  TN,TN,Meigs ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.8134003,-84.8134003,"Meigs, TN",Meigs
Menifee  KY,KY,Menifee ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-83.5988998,-83.5988998,"Menifee, KY",Menifee
Menominee  MI,MI,Menominee ,0,0,1,0,0,0,0,0,0,0,,,,,"Menominee, MI",Menominee
Mercer  KY,KY,Mercer ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-84.8743973,-84.8743973,"Mercer, KY",Mercer
Metcalfe  KY,KY,Metcalfe ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-85.6292038,-85.6292038,"Metcalfe, KY",Metcalfe
Midland  MI,MI,Midland ,0,0,1,0,0,0,0,1,0,0,,,,,"Midland, MI",Midland
Missaukee  MI,MI,Missaukee ,0,0,1,0,0,0,0,0,0,0,,,,,"Missaukee, MI",Missaukee
Mitchell  NC,NC,Mitchell ,0,0,0,1,0,1,0,0,0,0,-83.4271011,32.6385994,-82.1635971,-82.1635971,"Mitchell, NC",Mitchell
Mobile  AL,AL,Mobile ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-88.1975021,-88.1975021,"Mobile, AL",Mobile
Monroe  AL,AL,Monroe ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.3654022,-87.3654022,"Monroe, AL",Monroe
Monroe  GA,GA,Monroe ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.9187012,-83.9187012,"Monroe, GA",Monroe
Monroe  KY,KY,Monroe ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-85.7164993,-85.7164993,"Monroe, KY",Monroe
Monroe  MI,MI,Monroe ,0,0,1,0,0,0,1,0,0,0,,,,,"Monroe, MI",Monroe
Monroe  TN,TN,Monroe ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.2528,-84.2528,"Monroe, TN",Monroe
Montcalm  MI,MI,Montcalm ,0,0,1,0,0,0,0,1,0,0,,,,,"Montcalm, MI",Montcalm
Montgomery  AL,AL,Montgomery ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.2076035,-86.2076035,"Montgomery, AL",Montgomery
Montgomery  GA,GA,Montgomery ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.5347977,-82.5347977,"Montgomery, GA",Montgomery
Montgomery  KY,KY,Montgomery ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-83.9131012,-83.9131012,"Montgomery, KY",Montgomery
Montgomery  NC,NC,Montgomery ,0,1,0,0,0,2,0,0,0,0,-83.4271011,32.6385994,-79.9055023,-79.9055023,"Montgomery, NC",Montgomery
Montmorency  MI,MI,Montmorency ,0,0,1,0,0,0,1,0,0,0,,,,,"Montmorency, MI",Montmorency
Moore  NC,NC,Moore ,0,1,0,0,0,1,0,0,0,0,-83.4271011,32.6385994,-79.4813995,-79.4813995,"Moore, NC",Moore
Moore  TN,TN,Moore ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-86.3588028,-86.3588028,"Moore, TN",Moore
Morgan  AL,AL,Morgan ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.8528976,-86.8528976,"Morgan, AL",Morgan
Morgan  KY,KY,Morgan ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-83.2589035,-83.2589035,"Morgan, KY",Morgan
Morgan  TN,TN,Morgan ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.6492004,-84.6492004,"Morgan, TN",Morgan
Muhlenberg  KY,KY,Muhlenberg ,0,0,0,0,1,1,0,0,1,0,-89.6533966,32.7128983,-87.1419983,-87.1419983,"Muhlenberg, KY",Muhlenberg
Murray  GA,GA,Murray ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.7481003,-84.7481003,"Murray, GA",Murray
Muskegon  MI,MI,Muskegon ,0,0,1,0,0,0,1,1,0,0,,,,,"Muskegon, MI",Muskegon
